test_id,algorithm,map_size,num_obstacles,obstacle_density,success,path_length,smoothness_rad,clearance_m,nodes_explored,runtime_ms,path_points
1,A*,50,15,15,True,57.15432893255067,0.07853981633974483,1.2714847463197592,99,2.2940635681152344,42
1,RRT,50,15,15,True,66.72418553042864,0.5881891387167176,0.7583237898723905,141,6.504535675048828,35
2,A*,50,25,25,False,inf,inf,0.0,1962,38.263559341430664,0
2,RRT,50,25,25,False,inf,inf,0.0,795,83.88876914978027,0
3,A*,80,30,30,True,107.19595949289328,0.28734079148687136,1.5453030428047543,414,7.545232772827148,43
3,RRT,80,30,30,False,inf,inf,0.0,0,4.553318023681641,0
